1,文學少女,Fami通文庫,野村美月,已完成,2017-02-15,2213155字
2,TIGER×DRAGON！(龍與虎),電擊文庫,竹宮悠由子,已完成
3,魔法禁書目錄,電擊文庫,鐮池和馬,已完成
4,笨蛋，測驗，召喚獸,Fami通文庫,井上堅二,已完成,2016-01-25,1754205字
5,狼與香辛料(狼與辛香料),電擊文庫,支倉凍砂,已完成,2018-03-18,2311006字
6,化物語(物語系列一),講談社,西尾維新,已完成,2015-01-07,498603字
7,碧陽學園學生會議事錄(學生會的一己之見),富士見文庫,葵關南,已完成,2018-07-22,2230887字
8,全金屬狂潮(驚爆危機),富士見文庫,賀東招二,已完成
9,說謊的男孩與壞掉的女孩,電擊文庫,入間人間,已完成,2013-12-04,1353083字
10,對某飛行員的追憶,小學館,犬村小六,已完成,2010-08-22,128932字
11,黃昏色的詠使,富士見文庫,細音啟,已完成
12,奇諾之旅,電擊文庫,時雨澤惠一,連載中
13,零之使魔,MF文庫J,山口升,已完成,2017-04-10,2047865字
14,灼眼的夏娜,電擊文庫,高橋彌七郎,已完成
16
16,神的記事本,電擊文庫,杉井光,已完成,2014-10-01,1216059字
17,戲言系列,講談社,西尾維新,已完成,2010-12-09,1450054字
18,蟲之歌,角川文庫,岩井恭平,已完成,2014-05-21,3219160字
19,艾莉森,電擊文庫,時雨澤惠一,已完成,2014-12-11,375985字
20,伯爵與妖精,少女文庫,谷瑞惠,已完成,2016-06-26,3158582字
22
22,初戀魔法電擊,集英社,明日香正太,連載中,2011-11-22,1130352字
24
24,電波系彼女,集英社,片山憲太郎,連載中,2010-12-05,368589字
25,惡魔少女,HJ文庫,マろコわチろペ,已完成,2010-12-04,339701字
26,終焉的年代記,電擊文庫,川上稔,已完成,2013-01-31,2595943字
27,最終兵器彼女,小學館,江良至,已完成,2009-03-08,51108字
28,月姬,游戲劇本,奈須蘑菇,已完成,2010-06-11,1260680字
29,鎮魂系列,集英社,北澤大輔,已完成,2010-07-07,555467字
30,最後大魔王,HJ文庫,水城正太郎,連載中,2017-06-09,1133015字
31,夜明前的琉璃色,其他文庫,雜賀匡,已完成,2010-06-07,462276字
32,月兔公主,Fami通文庫,野村美月,已完成,2010-12-04,431202字
33,月兔升空時,MF文庫J,平阪讀,已完成,2010-12-04,416841字
34,銀河英雄傳說,其他文庫,田中芳樹,已完成,2009-03-08,1514394字
35,銀魂 3年Z組銀八老師,集英社,大崎知仁,已完成,2014-06-15,410766字
36,銀盤萬花筒,集英社,海原零,已完成,2010-12-02,1058922字
37,伊里野的天空UFO的夏天,電擊文庫,秋山瑞人,已完成,2014-12-11,452260字
38,雲之彼端約定之地,Fami通文庫,新海誠,已完成,2009-03-08,28515字
39,藥師寺涼子怪奇事件簿,講談社,田中芳樹,連載中,2013-03-19,960395字
40,仰望半月的夜空,電擊文庫,橋本紡,已完成,2010-11-30,719996字
41,虛軸少女,電擊文庫,藤原佑,已完成,2012-03-01,1124106字
43
43,獻上女神的祝福,電擊文庫,岩田洋季,已完成,2010-12-09,1566503字
44,學校的階梯,Fami通文庫,��末高彰,已完成,2013-07-10,1158170字
46
46,我的親愛主人!?,富士見文庫,鷹野佑希,已完成,2010-11-29,436133字
47,我的妹妹哪有這麼可愛(我的妹妹不可能那麼可愛),電擊文庫,伏見司,已完成,2018-06-13,1536971字
48,我的狐仙女友,MF文庫J,西野ろコノ,連載中,2017-03-09,1342337字
49,我的世界守護者,電擊文庫,谷川流,連載中,2010-11-26,310574字
50,我們倆的田村同學,電擊文庫,竹宮悠由子,已完成,2010-11-26,247814字
51,我家有個狐仙大人,電擊文庫,柴村仁,連載中,2010-11-26,599019字
52,我們的蔬菜不夠,集英社,淺沼廣太,已完成,2010-11-23,357678字
53,我的腐女友,少女文庫,нモクツ,已完成,2009-03-09,143766字
54,萬歲系列,MF文庫J,三浦勇雄,已完成,2010-11-23,738880字
55,天使養成法則,集英社,淺沼廣太,已完成,2011-01-18,482569字
56,鐵達尼亞,其他文庫,田中芳樹,已完成,2009-03-09,287730字
57,圖書館戰爭,電擊文庫,有川浩,已完成,2011-09-20,954299字
58,逃離學校!,電擊文庫,谷川流,已完成,2011-09-11,608511字
59,天空之鐘 響徹惑星,電擊文庫,渡瀨草一郎,已完成,2010-11-22,1461339字
60,糖果子彈,富士見文庫,櫻庭一樹,已完成,2010-11-20,71972字
